Consecutive Time,Voltage,Current (raw),Capacity (normalized),Standard Discharge Capacity,Battery Temperature,Ambient Temperature,Step Num,Time[s],SOC
53447.9315,3.094277,48.75467,0.000651462,97.61355,-0.7602996,-0.7900637,6,0,0
53452.9314,3.113706,48.7585,0.00134435,97.61355,-0.7103574,-0.8383009,6,5,0.000253614
53457.9312,3.125929,48.76424,0.002037174,97.61355,-0.6988974,-0.7966278,6,10,0.000507228
53462.9315,3.136342,48.74779,0.002730113,97.61355,-0.7166896,-0.8824005,6,15,0.000760842
53467.9313,3.145534,48.7654,0.003423121,97.61355,-0.6572543,-0.8154008,6,20,0.001014456
53472.9314,3.153821,48.76463,0.004116171,97.61355,-0.7583632,-0.8938622,6,25,0.00126807
53477.9319,3.161508,48.76459,0.004809138,97.61355,-0.6830672,-0.7959052,6,30,0.001521684
53482.9313,3.169162,48.76677,0.005501928,97.61355,-0.640458,-0.8137051,6,35,0.001775298
53487.9317,3.17618,48.76233,0.006194893,97.61355,-0.7091404,-0.8144246,6,40,0.002028912
53492.9316,3.183059,48.76131,0.006888119,97.61355,-0.598066,-0.6957915,6,45,0.002282526
53497.9317,3.189309,48.76379,0.00758102,97.61355,-0.6338822,-0.7693672,6,50,0.00253614
53502.9312,3.19567,48.75659,0.008273722,97.61355,-0.6577202,-0.763,6,55,0.002789754
53507.9313,3.201543,48.7572,0.008966842,97.61355,-0.6458074,-0.8115054,6,60,0.003043368
53512.9317,3.207129,48.76447,0.009659681,97.61355,-0.5693046,-0.7349923,6,65,0.003296982
53517.9315,3.213104,48.76036,0.010352446,97.61355,-0.5810233,-0.7240582,6,70,0.003550596
53522.9316,3.218111,48.77206,0.011045085,97.61355,-0.5364372,-0.747432,6,75,0.00380421
53527.9317,3.223257,48.74368,0.011738258,97.61355,-0.6036783,-0.7542651,6,80,0.004057824
53532.9312,3.228332,48.75529,0.012431112,97.61355,-0.6384837,-0.8343896,6,85,0.004311438
53537.9313,3.233344,48.76028,0.013124315,97.61355,-0.6487262,-0.8219776,6,90,0.004565052
53542.9317,3.237938,48.75815,0.013817293,97.61355,-0.6202554,-0.7557389,6,95,0.004818666
53547.9314,3.242565,48.75565,0.014510045,97.61355,-0.6669836,-0.8251314,6,100,0.00507228
53552.9318,3.247216,48.76503,0.015202941,97.61355,-0.5883182,-0.7993219,6,105,0.005325894
53557.9311,3.251448,48.76108,0.015895764,97.61355,-0.5357211,-0.7089533,6,110,0.005579508
